year,value,country,indicator_code
1960.0,40461721692.64677,CAN,NY.GDP.MKTP.CD
1961.0,40934952063.94684,CAN,NY.GDP.MKTP.CD
1962.0,42227447631.9159,CAN,NY.GDP.MKTP.CD
1963.0,45029988561.21245,CAN,NY.GDP.MKTP.CD
1964.0,49377522896.70303,CAN,NY.GDP.MKTP.CD
1965.0,54515179580.71483,CAN,NY.GDP.MKTP.CD
1966.0,61088384036.65145,CAN,NY.GDP.MKTP.CD
1967.0,65668655501.12544,CAN,NY.GDP.MKTP.CD
1968.0,71829810519.89554,CAN,NY.GDP.MKTP.CD
1969.0,79148411661.69023,CAN,NY.GDP.MKTP.CD
1970.0,87896095224.4234,CAN,NY.GDP.MKTP.CD
1971.0,99271961477.5203,CAN,NY.GDP.MKTP.CD
1972.0,113082820992.0194,CAN,NY.GDP.MKTP.CD
1973.0,131321859214.0786,CAN,NY.GDP.MKTP.CD
1974.0,160408697648.26175,CAN,NY.GDP.MKTP.CD
1975.0,173834029787.65237,CAN,NY.GDP.MKTP.CD
1976.0,206575564401.6227,CAN,NY.GDP.MKTP.CD
1977.0,211612156934.64975,CAN,NY.GDP.MKTP.CD
1978.0,218632867449.81152,CAN,NY.GDP.MKTP.CD
1979.0,243072102185.41916,CAN,NY.GDP.MKTP.CD
1980.0,273853826377.00992,CAN,NY.GDP.MKTP.CD
1981.0,306214863624.98956,CAN,NY.GDP.MKTP.CD
1982.0,313506525087.1362,CAN,NY.GDP.MKTP.CD
1983.0,340547711781.88904,CAN,NY.GDP.MKTP.CD
1984.0,355372558103.62134,CAN,NY.GDP.MKTP.CD
1985.0,364756499450.7507,CAN,NY.GDP.MKTP.CD
1986.0,377437927311.9827,CAN,NY.GDP.MKTP.CD
1987.0,431316742081.44794,CAN,NY.GDP.MKTP.CD
1988.0,507354351182.254,CAN,NY.GDP.MKTP.CD
1989.0,565055743243.2433,CAN,NY.GDP.MKTP.CD
1990.0,593929550908.4675,CAN,NY.GDP.MKTP.CD
1991.0,610328183643.1876,CAN,NY.GDP.MKTP.CD
1992.0,592387689252.9163,CAN,NY.GDP.MKTP.CD
1993.0,577170761956.4375,CAN,NY.GDP.MKTP.CD
1994.0,578139279437.6099,CAN,NY.GDP.MKTP.CD
1995.0,604031623433.4014,CAN,NY.GDP.MKTP.CD
1996.0,628546387972.1306,CAN,NY.GDP.MKTP.CD
1997.0,652823920265.7808,CAN,NY.GDP.MKTP.CD
1998.0,631813279406.8082,CAN,NY.GDP.MKTP.CD
1999.0,676084000807.7001,CAN,NY.GDP.MKTP.CD
2000.0,742295468318.6317,CAN,NY.GDP.MKTP.CD
2001.0,736379777892.562,CAN,NY.GDP.MKTP.CD
2002.0,757950678646.5304,CAN,NY.GDP.MKTP.CD
2003.0,892382413817.7146,CAN,NY.GDP.MKTP.CD
2004.0,1023196771714.0662,CAN,NY.GDP.MKTP.CD
2005.0,1169357979864.664,CAN,NY.GDP.MKTP.CD
2006.0,1315415197461.213,CAN,NY.GDP.MKTP.CD
2007.0,1464977190205.7537,CAN,NY.GDP.MKTP.CD
2008.0,1549131208997.1885,CAN,NY.GDP.MKTP.CD
2009.0,1371153004986.4404,CAN,NY.GDP.MKTP.CD
2010.0,1613542812589.3896,CAN,NY.GDP.MKTP.CD
2011.0,1789140665202.839,CAN,NY.GDP.MKTP.CD
2012.0,1823966686523.6335,CAN,NY.GDP.MKTP.CD
2013.0,1842018420853.0952,CAN,NY.GDP.MKTP.CD
2014.0,1801480123070.8162,CAN,NY.GDP.MKTP.CD
2015.0,1552899925233.7092,CAN,NY.GDP.MKTP.CD
2016.0,1526705529135.3203,CAN,NY.GDP.MKTP.CD
2017.0,1646867220617.4656,CAN,NY.GDP.MKTP.CD
2018.0,1713341704877.0117,CAN,NY.GDP.MKTP.CD
2019.0,,CAN,NY.GDP.MKTP.CD
1960.0,543300000000.0,USA,NY.GDP.MKTP.CD
1961.0,563300000000.0,USA,NY.GDP.MKTP.CD
1962.0,605100000000.0,USA,NY.GDP.MKTP.CD
1963.0,638600000000.0,USA,NY.GDP.MKTP.CD
1964.0,685800000000.0,USA,NY.GDP.MKTP.CD
1965.0,743700000000.0,USA,NY.GDP.MKTP.CD
1966.0,815000000000.0,USA,NY.GDP.MKTP.CD
1967.0,861700000000.0,USA,NY.GDP.MKTP.CD
1968.0,942500000000.0,USA,NY.GDP.MKTP.CD
1969.0,1019900000000.0,USA,NY.GDP.MKTP.CD
1970.0,1073303000000.0,USA,NY.GDP.MKTP.CD
1971.0,1164850000000.0,USA,NY.GDP.MKTP.CD
1972.0,1279110000000.0,USA,NY.GDP.MKTP.CD
1973.0,1425376000000.0,USA,NY.GDP.MKTP.CD
1974.0,1545243000000.0,USA,NY.GDP.MKTP.CD
1975.0,1684904000000.0,USA,NY.GDP.MKTP.CD
1976.0,1873412000000.0,USA,NY.GDP.MKTP.CD
1977.0,2081826000000.0,USA,NY.GDP.MKTP.CD
1978.0,2351599000000.0,USA,NY.GDP.MKTP.CD
