순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"56,000","0","0.0","12,095,519","677,520,520,600","56,100","56,500","55,600","334,307,822,800,000","19.42","5,969,782,550",,,2467
2,000660,SK하이닉스,"95,000","1,400","1.5","2,791,176","264,091,139,500","94,100","95,100","93,700","69,160,224,675,000","4.02","728,002,365",,,
3,005935,삼성전자우,"45,150","-600","-1.3","2,658,532","120,554,619,300","45,650","45,800","45,000","37,153,334,505,000","2.16","822,886,700",,,
4,035420,NAVER,"183,500","4,500","2.5","560,761","103,004,839,500","180,000","187,000","179,500","30,243,257,982,500","1.76","164,813,395",,,
5,005380,현대차,"124,000","500","0.4","1,001,899","123,690,538,000","124,000","124,000","122,500","26,494,855,188,000","1.54","213,668,187",,,
6,207940,삼성바이오로직스,"396,500","1,000","0.2","75,612","29,968,536,000","396,000","397,500","395,500","26,234,422,500,000","1.52","66,165,000",,,
7,012330,현대모비스,"262,000","1,000","0.4","242,192","63,130,507,500","261,500","262,500","258,500","24,970,353,828,000","1.45","95,306,694",,,
8,068270,셀트리온,"182,000","1,500","0.8","553,057","100,531,505,000","181,500","183,000","180,000","23,357,489,246,000","1.36","128,337,853",,,
9,051910,LG화학,"314,500","5,500","1.8","248,130","77,945,378,500","310,000","315,500","309,500","22,201,291,873,500","1.29","70,592,343",,,
10,055550,신한지주,"45,350","-100","-0.2","1,161,672","52,662,982,900","45,750","45,800","45,050","21,504,951,270,450","1.25","474,199,587",,,
11,005490,POSCO,"246,000","-500","-0.2","211,349","51,911,955,500","247,500","248,000","243,500","21,447,961,410,000","1.25","87,186,835",,,
12,028260,삼성물산,"108,500","1,000","0.9","314,911","34,022,456,500","108,000","108,500","107,000","20,581,369,665,500","1.20","189,690,043",,,
13,105560,KB금융,"49,050","-350","-0.7","1,014,948","49,725,119,650","49,100","49,350","48,600","20,508,370,889,850","1.19","418,111,537",,,
14,051900,LG생활건강,"1,273,000","7,000","0.6","28,045","35,572,674,000","1,271,000","1,277,000","1,260,000","19,881,964,781,000","1.16","15,618,197",,,
15,017670,SK텔레콤,"243,500","500","0.2","161,679","39,320,403,000","243,500","244,000","242,000","19,661,580,628,500","1.14","80,745,711",,,
16,034730,SK,"258,500","1,500","0.6","95,196","24,541,142,000","258,000","259,500","256,000","18,188,136,774,500","1.06","70,360,297",,,
17,000270,기아차,"44,700","0","0.0","751,826","33,556,930,100","45,000","45,000","44,350","18,119,741,610,900","1.05","405,363,347",,,
18,015760,한국전력,"28,000","-400","-1.4","1,459,271","41,037,017,000","28,500","28,550","28,000","17,974,994,156,000","1.04","641,964,077",,,
19,006400,삼성SDI,"228,500","0","0.0","173,383","39,631,726,500","230,000","230,500","227,500","15,712,695,105,000","0.91","68,764,530",,,
20,018260,삼성에스디에스,"197,000","2,500","1.3","97,021","19,074,639,000","195,500","197,000","194,000","15,243,426,600,000","0.89","77,377,800",,,
21,032830,삼성생명,"76,200","-200","-0.3","159,604","12,166,795,300","76,500","76,700","75,900","15,240,000,000,000","0.89","200,000,000",,,
22,096770,SK이노베이션,"153,500","1,500","1.0","357,667","54,794,430,500","152,500","154,000","152,000","14,193,464,074,000","0.82","92,465,564",,,
23,033780,KT&G,"96,900","-400","-0.4","394,604","38,298,726,700","97,500","97,600","96,800","13,303,642,959,300","0.77","137,292,497",,,
24,035720,카카오,"150,000","0","0.0","545,445","82,307,728,000","150,000","153,000","149,500","12,932,058,900,000","0.75","86,213,726",,,
25,003550,LG,"74,400","-300","-0.4","190,568","14,185,552,700","75,500","75,500","74,100","12,838,250,546,400","0.75","172,557,131",,,
26,000810,삼성화재,"252,500","500","0.2","165,174","41,258,631,000","247,500","252,500","246,000","11,962,146,342,500","0.69","47,374,837",,,
27,066570,LG전자,"72,500","0","0.0","403,031","29,102,505,200","72,700","72,700","71,600","11,864,466,515,000","0.69","163,647,814",,,
28,036570,엔씨소프트,"539,000","6,000","1.1","65,798","35,487,332,000","535,000","543,000","533,000","11,833,217,858,000","0.69","21,954,022",,,
29,090430,아모레퍼시픽,"201,500","1,500","0.8","295,415","59,513,304,000","201,500","203,500","199,500","11,779,385,735,000","0.68","58,458,490",,,
30,086790,하나금융지주,"38,550","-50","-0.1","850,439","32,747,572,150","38,700","38,700","38,350","11,574,331,490,100","0.67","300,242,062",,,
31,010950,S-Oil,"97,200","500","0.5","189,190","18,403,974,000","97,100","97,700","96,900","10,943,047,382,400","0.64","112,582,792",,,
32,009150,삼성전기,"119,500","1,000","0.8","392,200","46,841,650,000","119,500","120,000","118,500","8,925,896,672,000","0.52","74,693,696",,,
33,009540,한국조선해양,"125,500","-500","-0.4","127,670","15,980,260,500","126,500","126,500","124,500","8,882,026,058,000","0.52","70,773,116",,,
34,316140,우리금융지주,"12,000","0","0.0","1,972,978","23,698,503,250","12,050","12,100","11,950","8,667,212,196,000","0.50","722,267,683",,,
35,010130,고려아연,"430,500","5,000","1.2","31,545","13,500,312,000","430,000","431,500","423,500","8,123,535,000,000","0.47","18,870,000",,,
36,011170,롯데케미칼,"234,500","7,500","3.3","211,564","49,218,315,500","227,000","235,000","227,000","8,037,585,755,500","0.47","34,275,419",,,
37,091990,셀트리온헬스케어,"53,700","1,200","2.3","944,335","50,453,048,200","52,800","54,000","52,700","7,728,936,177,600","0.45","143,928,048",,,
38,251270,넷마블,"89,200","-100","-0.1","148,968","13,337,073,600","89,800","91,000","88,800","7,648,415,108,800","0.44","85,744,564",,,
39,030200,KT,"27,300","300","1.1","998,124","27,147,536,900","27,050","27,300","27,000","7,128,352,358,400","0.41","261,111,808",,,
40,024110,기업은행,"12,300","-50","-0.4","1,733,966","21,357,869,950","12,350","12,400","12,300","7,099,030,841,700","0.41","577,156,979",,,
41,002790,아모레G,"84,000","3,300","4.1","219,287","18,416,399,200","82,000","86,400","81,700","6,926,487,120,000","0.40","82,458,180",,,
42,021240,웅진코웨이,"91,800","-1,800","-1.9","171,110","15,713,290,600","92,900","93,200","91,100","6,774,805,024,200","0.39","73,799,619",,,
43,035250,강원랜드,"29,900","-100","-0.3","447,048","13,398,420,550","30,150","30,150","29,750","6,396,820,950,000","0.37","213,940,500",,,
